Nom,Position,Durée,Genre,Latéralité,Set,Système,Coup,Type de service,Type Coup TK,Zone de jeu
FLORE Tristan (207),11:49.2,00:00.8,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,D2
BOLL Timo (205),11:49.9,00:01.2,,Revers,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (208),11:51.1,00:01.2,,Revers,SET,,FLORE Tristan,,Controle / Résistance,M3
BOLL Timo (206),11:52.3,00:00.3,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (209),11:52.6,00:00.7,,Revers,SET,,FLORE Tristan,,Controle / Résistance,G3
BOLL Timo (207),11:53.4,00:01.2,,Coup droit,SET,,Serveur Point +,,Controle / Résistance,M3
FLORE Tristan (210),11:57.9,00:02.0,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
FLORE Tristan (211),12:12.9,00:02.0,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (208),12:15.5,00:00.9,,Coup droit,SET,,BOLL Timo,,Poussette,D1
FLORE Tristan (212),12:16.4,00:00.1,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,D3
BOLL Timo (209),12:16.5,00:00.5,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,M3
FLORE Tristan (213),12:17.0,00:00.7,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (210),12:17.7,00:00.6,,Revers,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (214),12:18.3,00:00.5,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (211),12:18.8,00:01.1,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,G3
FLORE Tristan (215),12:19.9,00:00.9,,Coup droit,SET,,Serveur Point -,,Attaque / Offensif,D3
BOLL Timo (212),12:25.1,00:00.5,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (216),12:26.4,00:00.7,,Revers,SET,,FLORE Tristan,,Poussette,D1
BOLL Timo (213),12:27.1,00:00.6,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (217),12:27.7,00:00.6,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (214),12:28.3,00:00.6,,Revers,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (218),12:28.9,00:00.4,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (215),12:29.3,00:00.8,,Revers,SET,,BOLL Timo,,Controle / Résistance,M3
FLORE Tristan (219),12:30.1,00:00.4,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,G3
BOLL Timo (216),12:30.5,00:01.1,,Revers,SET,,Serveur Point -,,Controle / Résistance,D3
FLORE Tristan (220),12:34.0,00:02.1,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (217),12:36.6,00:01.7,,Coup droit,SET,,Serveur Point +,,Poussette,M1
SET (5),12:39.2,00:00.0,,,Set décisif,,,,,
FLORE Tristan (221),12:41.1,00:02.1,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (218),12:44.0,00:00.4,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (222),12:44.4,00:00.8,,Revers,SET,,FLORE Tristan,,Controle / Résistance,M3
BOLL Timo (219),12:45.2,00:00.6,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M3
FLORE Tristan (223),12:45.8,00:02.2,,Revers,SET,,Serveur Point -,,Controle / Résistance,G3
FLORE Tristan (224),12:49.8,00:02.2,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (220),12:52.7,00:00.5,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (225),12:53.2,00:00.6,,Coup droit,SET,,Serveur Point +,,Attaque / Offensif,G3
BOLL Timo (221),12:56.1,00:00.9,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (226),12:57.5,00:00.6,,Revers,SET,,FLORE Tristan,,Poussette,G1
BOLL Timo (222),12:58.1,00:00.6,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (227),12:58.7,00:00.4,,Revers,SET,,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (223),12:59.1,00:01.7,,Revers,SET,,Serveur Point -,,Attaque / Offensif,D3
BOLL Timo (224),13:01.9,00:00.7,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (228),13:03.3,00:00.4,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,D3
BOLL Timo (225),13:03.7,00:00.8,,Revers,SET,,BOLL Timo,,Controle / Résistance,M3
FLORE Tristan (229),13:04.4,00:00.8,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,G3
BOLL Timo (226),13:05.2,00:00.5,,Coup droit,SET,,Serveur Point -,,Attaque / Offensif,D2
FLORE Tristan (230),13:07.6,00:02.2,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (227),13:10.5,00:01.0,,Coup droit,SET,,BOLL Timo,,Controle / Résistance,G1
FLORE Tristan (231),13:11.5,00:00.5,,Coup droit,SET,,Serveur Point -,,Attaque / Offensif,G3
FLORE Tristan (232),13:14.6,00:02.3,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (228),13:17.4,00:00.4,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (233),13:17.9,00:00.6,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,D3
BOLL Timo (229),13:18.4,00:00.6,,Revers,SET,,BOLL Timo,,Controle / Résistance,M3
FLORE Tristan (234),13:19.0,00:00.5,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,D3
BOLL Timo (230),13:19.4,00:00.6,,Revers,SET,,BOLL Timo,,Controle / Résistance,D3
FLORE Tristan (235),13:20.0,00:00.6,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,M3
BOLL Timo (231),13:20.6,00:00.6,,Revers,SET,,Serveur Point +,,Controle / Résistance,M3
BOLL Timo (232),13:24.5,00:00.6,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (236),13:25.6,00:00.5,,Coup droit,SET,,FLORE Tristan,,Poussette,D1
BOLL Timo (233),13:26.1,00:00.1,,Revers,SET,,Serveur Point -,,Attaque / Offensif,M1
BOLL Timo (234),13:29.9,00:00.8,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (237),13:31.1,00:00.5,,Revers,SET,,FLORE Tristan,,Poussette,M1
BOLL Timo (235),13:31.6,00:00.6,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (238),13:32.2,00:00.5,,Revers,SET,,FLORE Tristan,,Attaque / Offensif,G3
